filename, language, CSS, JavaScript, XML, JavaScript React, SCSS, comment, blank, total
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\App.css, CSS, 11, 0, 0, 0, 0, 0, 2, 13
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\App.js, JavaScript, 0, 63, 0, 0, 0, 0, 14, 77
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\App.test.js, JavaScript, 0, 8, 0, 0, 0, 0, 2, 10
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\assets\cart.svg, XML, 0, 0, 52, 0, 0, 1, 1, 54
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\assets\crown.svg, XML, 0, 0, 16, 0, 0, 1, 0, 17
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\components\cart-dropdown\cart-dropdown.component.jsx, JavaScript React, 0, 0, 0, 10, 0, 0, 3, 13
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\components\cart-dropdown\cart-dropdown.styles.scss, SCSS, 0, 0, 0, 0, 22, 0, 3, 25
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\components\cart-icon\cart-icon.component.jsx, JavaScript React, 0, 0, 0, 10, 0, 0, 4, 14
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\components\cart-icon\cart-icon.styles.scss, SCSS, 0, 0, 0, 0, 19, 0, 3, 22
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\components\collection-item\collection-item.component.jsx, JavaScript React, 0, 0, 0, 17, 0, 0, 4, 21
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\components\collection-item\collection-item.styles.scss, SCSS, 0, 0, 0, 0, 28, 0, 5, 33
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\components\collection-preview\collection-preview.component.jsx, JavaScript React, 0, 0, 0, 18, 0, 0, 4, 22
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\components\collection-preview\collection-preview.styles.scss, SCSS, 0, 0, 0, 0, 13, 0, 3, 16
